Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
3,93,0,8,4,76,2,1,1,1,1
3,73,1,6,3,53,2,1,1,1,1
9,67,1,7,1,63,2,1,1,1,1
6,89,1,4,8,75,2,1,1,1,1
9,41,0,8,6,38,1,1,1,1,1
5,96,1,6,7,79,2,1,1,1,1
2,86,0,7,7,63,2,1,1,1,1
8,69,0,7,1,60,2,1,1,1,1
5,65,0,4,4,49,1,1,1,1,1
2,90,0,4,2,66,2,1,1,1,1
4,86,0,8,9,71,2,1,1,1,1
9,65,1,9,8,66,2,1,1,1,1
4,59,1,6,8,41,1,1,1,1,1
4,81,0,7,5,67,2,1,1,1,1
2,67,0,8,3,46,1,1,1,1,1
6,95,0,8,7,86,3,1,1,1,1
2,59,0,4,4,37,1,1,1,1,1
7,50,1,7,2,42,1,1,1,1,1
3,97,0,5,7,77,2,1,1,1,1
3,49,0,9,5,32,1,1,1,1,1
5,62,1,9,4,47,1,1,1,1,1
3,76,1,4,0,54,2,1,1,1,1
2,80,1,7,2,60,2,1,1,1,1
9,91,1,8,6,89,3,1,1,1,1
2,58,0,9,2,34,1,1,1,1,1
2,84,0,8,0,59,2,1,1,1,1
8,57,0,6,7,52,2,1,1,1,1
9,88,0,5,6,84,3,1,1,1,1
7,66,0,4,4,57,2,1,1,1,1
3,45,0,9,9,30,1,1,1,1,1
9,49,0,6,4,47,1,1,1,1,1
3,41,0,6,5,15,1,1,1,1,1
5,63,0,5,6,49,1,1,1,1,1
9,77,1,4,2,74,2,1,1,1,1
3,67,0,4,3,45,1,1,1,1,1
7,67,1,8,0,61,2,1,1,1,1
1,92,1,4,6,67,2,1,1,1,1
4,84,1,6,9,64,2,1,1,1,1
4,89,1,8,1,73,2,1,1,1,1
7,78,0,4,6,68,2,1,1,1,1
8,41,1,5,5,33,1,1,1,1,1
1,85,1,6,3,60,2,1,1,1,1
5,44,0,7,1,30,1,1,1,1,1
7,89,1,5,6,82,3,1,1,1,1
4,50,0,5,6,33,1,1,1,1,1
4,49,0,4,4,28,1,1,1,1,1
4,82,0,8,8,64,2,1,1,1,1
6,98,0,8,2,88,3,1,1,1,1
7,41,1,6,8,35,1,1,1,1,1
2,54,0,4,4,30,1,1,1,1,1
5,78,1,8,1,60,2,1,1,1,1
4,80,1,9,8,66,2,1,1,1,1
3,76,0,7,0,52,2,1,1,1,1
7,46,1,9,0,39,1,1,1,1,1
6,59,0,4,6,45,1,1,1,1,1
7,73,1,4,2,64,2,1,1,1,1
5,74,1,8,7,66,2,1,1,1,1
6,73,1,5,6,61,2,1,1,1,1
5,92,1,4,6,76,2,1,1,1,1
7,61,0,5,0,49,1,1,1,1,1
2,70,0,6,0,43,1,1,1,1,1
5,62,1,6,1,45,1,1,1,1,1
6,58,1,8,1,49,1,1,1,1,1
6,43,1,6,4,27,1,1,1,1,1
5,63,1,9,8,50,2,1,1,1,1
7,59,0,9,6,52,2,1,1,1,1
8,78,1,9,1,72,2,1,1,1,1
7,67,1,8,4,62,2,1,1,1,1
5,93,1,8,4,80,3,1,1,1,1
1,78,0,9,7,53,2,1,1,1,1
5,56,1,5,8,42,1,1,1,1,1
2,58,0,9,7,37,1,1,1,1,1
5,93,0,5,1,77,2,1,1,1,1
5,87,1,6,3,73,2,1,1,1,1
2,74,1,5,1,46,1,1,1,1,1
5,71,1,4,5,54,2,1,1,1,1
4,86,0,7,3,70,2,1,1,1,1
1,85,0,4,6,60,2,1,1,1,1
3,86,1,4,1,67,2,1,1,1,1
1,85,0,8,8,58,2,1,1,1,1
5,78,1,7,4,63,2,1,1,1,1
4,96,1,8,0,83,3,1,1,1,1
7,74,1,5,2,64,2,1,1,1,1
5,69,1,9,3,57,2,1,1,1,1
4,56,1,5,2,45,1,1,1,1,1
2,81,1,7,5,61,2,1,1,1,1
4,86,0,6,5,68,2,1,1,1,1
2,68,0,5,9,45,1,1,1,1,1
8,45,0,4,6,39,1,1,1,1,1
3,99,1,7,8,77,2,1,1,1,1
9,56,1,7,9,55,2,1,1,1,1
4,56,1,5,8,38,1,1,1,1,1
6,53,0,5,6,40,1,1,1,1,1
5,63,1,8,0,49,1,1,1,1,1
1,96,0,8,2,74,2,1,1,1,1
9,89,1,4,4,86,3,1,1,1,1
1,96,0,7,9,72,2,1,1,1,1
8,76,1,6,5,72,2,1,1,1,1
9,79,1,6,5,77,2,1,1,1,1
9,78,0,7,4,76,2,1,1,1,1
1,94,0,4,5,67,2,1,1,1,1
2,71,0,8,8,52,2,1,1,1,1
1,75,1,8,0,52,2,1,1,1,1
2,89,0,8,0,67,2,1,1,1,1
8,76,0,6,8,66,2,1,1,1,1
5,87,1,6,7,74,2,1,1,1,1
7,53,1,4,8,40,1,1,1,1,1
2,66,0,6,6,44,1,1,1,1,1
8,98,1,5,9,97,3,1,1,1,1
6,58,0,6,5,48,1,1,1,1,1
8,70,0,8,8,65,2,1,1,1,1
1,85,0,4,1,57,2,1,1,1,1
1,48,1,7,3,19,1,1,1,1,1
7,77,0,7,1,68,2,1,1,1,1
8,56,0,4,5,48,1,1,1,1,1
3,58,1,5,0,34,1,1,1,1,1
5,83,0,7,6,67,2,1,1,1,1
1,43,0,8,6,15,1,1,1,1,1
7,87,0,7,6,83,3,1,1,1,1
5,96,1,7,3,83,3,1,1,1,1
8,50,0,8,7,46,1,1,1,1,1
8,61,1,6,4,57,2,1,1,1,1
9,43,1,5,1,42,1,1,1,1,1
7,56,0,8,4,51,2,1,1,1,1
1,47,0,8,9,24,1,1,1,1,1
3,85,1,9,8,64,2,1,1,1,1
8,98,0,4,9,94,3,1,1,1,1
3,73,0,5,0,50,2,1,1,1,1
8,50,1,6,1,41,1,1,1,1,1
1,70,0,9,9,45,1,1,1,1,1
5,50,0,8,7,37,1,1,1,1,1
4,95,1,9,4,75,2,1,1,1,1
5,93,0,6,8,80,3,1,1,1,1
8,95,1,9,5,94,3,1,1,1,1
4,77,1,9,7,62,2,1,1,1,1
4,92,0,9,0,73,2,1,1,1,1
3,60,1,8,8,43,1,1,1,1,1
7,85,0,8,8,78,2,1,1,1,1
3,69,0,4,2,51,2,1,1,1,1
3,49,1,7,0,24,1,1,1,1,1
5,65,1,5,7,46,1,1,1,1,1
5,66,1,4,7,51,2,1,1,1,1
6,47,1,6,8,35,1,1,1,1,1
8,78,1,9,5,75,2,1,1,1,1
6,47,1,8,8,38,1,1,1,1,1
1,99,0,9,9,79,2,1,1,1,1
8,47,0,8,8,42,1,1,1,1,1
8,94,1,5,3,89,3,1,1,1,1
9,73,0,4,4,66,2,1,1,1,1
9,98,1,4,5,100,,1,1,1,1
2,55,1,6,5,34,1,1,1,1,1
2,80,0,4,9,59,2,1,1,1,1
3,52,0,4,1,28,1,1,1,1,1
1,62,1,7,3,39,1,1,1,1,1
4,51,1,5,8,36,1,1,1,1,1
4,66,1,9,6,52,2,1,1,1,1
9,61,0,4,8,57,2,1,1,1,1
9,71,1,6,5,66,2,1,1,1,1
9,96,1,9,6,95,3,1,1,1,1
7,88,0,8,8,79,2,1,1,1,1
2,66,0,4,3,42,1,1,1,1,1
5,41,0,4,8,23,1,1,1,1,1
4,84,1,9,2,67,2,1,1,1,1
8,72,1,8,7,64,2,1,1,1,1
2,65,0,7,2,43,1,1,1,1,1
6,67,1,5,2,56,2,1,1,1,1
5,58,1,7,2,43,1,1,1,1,1
2,82,0,6,8,55,2,1,1,1,1
1,44,0,9,9,16,1,1,1,1,1
8,72,1,4,2,65,2,1,1,1,1
2,59,0,7,5,38,1,1,1,1,1
7,69,0,5,3,57,2,1,1,1,1
9,84,1,6,1,83,3,1,1,1,1
9,47,1,7,2,47,1,1,1,1,1
8,77,1,4,4,71,2,1,1,1,1
9,56,1,5,9,56,2,1,1,1,1
2,83,1,4,3,57,2,1,1,1,1
6,40,1,4,4,23,1,1,1,1,1
4,42,0,6,0,27,1,1,1,1,1
4,85,0,5,3,65,2,1,1,1,1
5,65,0,8,9,54,2,1,1,1,1
3,70,1,4,2,50,2,1,1,1,1
1,47,1,5,1,23,1,1,1,1,1
8,82,1,4,6,77,2,1,1,1,1
5,98,1,7,9,83,3,1,1,1,1
3,85,1,7,8,66,2,1,1,1,1
7,47,0,5,0,38,1,1,1,1,1
7,74,1,6,6,65,2,1,1,1,1
1,78,0,8,0,54,2,1,1,1,1
9,67,1,7,4,65,2,1,1,1,1
2,90,0,6,0,68,2,1,1,1,1
5,43,0,8,2,31,1,1,1,1,1
5,96,0,7,7,83,3,1,1,1,1
8,55,0,8,3,49,1,1,1,1,1
8,52,0,9,0,45,1,1,1,1,1
7,59,0,4,0,46,1,1,1,1,1
7,90,0,5,7,85,3,1,1,1,1
6,44,1,7,7,33,1,1,1,1,1
6,94,1,7,3,83,3,1,1,1,1
9,76,0,4,3,71,2,1,1,1,1
6,59,1,7,9,49,1,1,1,1,1
2,63,1,7,1,39,1,1,1,1,1
2,75,0,9,1,51,2,1,1,1,1
5,73,1,7,5,57,2,1,1,1,1
4,97,0,7,7,81,3,1,1,1,1
2,84,1,7,6,65,2,1,1,1,1
3,87,0,6,6,66,2,1,1,1,1
7,93,1,7,2,86,3,1,1,1,1
8,73,0,4,1,66,2,1,1,1,1
6,58,1,9,9,50,2,1,1,1,1
5,56,1,7,6,46,1,1,1,1,1
1,44,1,8,3,20,1,1,1,1,1
8,64,0,9,0,58,2,1,1,1,1
3,57,0,9,0,38,1,1,1,1,1
6,99,1,8,3,91,3,1,1,1,1
3,94,1,4,4,77,2,1,1,1,1
7,92,0,6,4,83,3,1,1,1,1
7,89,1,4,0,79,2,1,1,1,1
9,47,1,6,2,50,2,1,1,1,1
5,66,0,5,5,51,2,1,1,1,1
8,54,0,8,9,49,1,1,1,1,1
8,84,1,9,6,79,2,1,1,1,1
1,52,0,9,0,26,1,1,1,1,1
5,55,1,9,7,42,1,1,1,1,1
3,61,1,8,3,42,1,1,1,1,1
1,59,0,8,8,35,1,1,1,1,1
4,52,1,6,5,31,1,1,1,1,1
8,59,0,9,0,50,2,1,1,1,1
3,41,0,4,1,18,1,1,1,1,1
2,74,1,6,2,50,2,1,1,1,1
9,86,0,9,1,82,3,1,1,1,1
5,94,1,8,9,78,2,1,1,1,1
7,58,0,8,6,53,2,1,1,1,1
2,84,1,8,0,65,2,1,1,1,1
9,76,0,9,8,76,2,1,1,1,1
9,97,1,8,1,94,3,1,1,1,1
4,93,1,5,3,79,2,1,1,1,1
4,45,0,8,7,27,1,1,1,1,1
6,53,1,9,2,43,1,1,1,1,1
6,43,1,6,8,30,1,1,1,1,1
1,61,1,8,6,37,1,1,1,1,1
9,90,1,7,9,90,3,1,1,1,1
2,94,1,5,2,68,2,1,1,1,1
5,78,1,9,2,64,2,1,1,1,1
9,75,0,8,4,73,2,1,1,1,1
4,73,0,7,4,53,2,1,1,1,1
3,66,0,9,9,46,1,1,1,1,1
7,46,0,6,4,37,1,1,1,1,1
6,42,1,5,8,29,1,1,1,1,1
8,86,1,8,8,80,3,1,1,1,1
3,72,0,6,5,52,2,1,1,1,1
5,41,1,9,6,29,1,1,1,1,1
4,81,0,7,9,70,2,1,1,1,1
4,55,1,9,7,40,1,1,1,1,1
4,64,1,9,8,49,1,1,1,1,1
8,99,0,5,5,92,3,1,1,1,1
6,54,1,8,7,46,1,1,1,1,1
3,63,0,6,1,42,1,1,1,1,1
5,54,0,5,9,41,1,1,1,1,1
6,70,0,7,7,60,2,1,1,1,1
5,53,1,8,1,41,1,1,1,1,1
6,93,1,5,7,83,3,1,1,1,1
8,53,0,7,1,43,1,1,1,1,1
7,45,1,7,2,36,1,1,1,1,1
5,53,0,6,6,38,1,1,1,1,1
6,56,0,9,8,47,1,1,1,1,1
4,57,1,7,2,40,1,1,1,1,1
9,59,0,7,4,59,2,1,1,1,1
4,90,1,9,8,76,2,1,1,1,1
1,56,1,4,6,31,1,1,1,1,1
7,55,1,7,1,44,1,1,1,1,1
7,79,0,8,4,71,2,1,1,1,1
4,78,0,5,4,59,2,1,1,1,1
3,91,1,9,8,69,2,1,1,1,1
8,71,1,9,1,63,2,1,1,1,1
5,99,0,9,0,87,3,1,1,1,1
7,83,1,8,3,77,2,1,1,1,1
4,48,1,9,3,31,1,1,1,1,1
4,66,0,8,0,47,1,1,1,1,1
8,85,0,6,9,78,2,1,1,1,1
8,91,0,4,6,86,3,1,1,1,1
2,72,1,9,1,48,1,1,1,1,1
2,49,0,4,8,24,1,1,1,1,1
3,56,0,9,6,39,1,1,1,1,1
3,88,0,8,6,71,2,1,1,1,1
1,88,0,5,0,60,2,1,1,1,1
3,75,0,4,8,54,2,1,1,1,1
6,56,0,4,9,45,1,1,1,1,1
8,57,0,8,8,51,2,1,1,1,1
6,91,1,4,1,78,2,1,1,1,1
5,62,0,6,9,48,1,1,1,1,1
4,73,1,8,8,59,2,1,1,1,1
3,47,1,4,1,28,1,1,1,1,1
4,52,0,4,1,35,1,1,1,1,1
7,62,1,4,7,55,2,1,1,1,1
1,96,0,8,2,69,2,1,1,1,1
7,93,1,5,2,87,3,1,1,1,1
1,59,0,7,6,32,1,1,1,1,1
2,61,1,9,9,37,1,1,1,1,1
4,86,0,4,5,66,2,1,1,1,1
1,91,0,7,6,66,2,1,1,1,1
9,62,1,7,5,56,2,1,1,1,1
6,80,1,4,8,70,2,1,1,1,1
1,74,0,4,1,48,1,1,1,1,1
1,42,1,9,7,17,1,1,1,1,1
6,73,0,7,5,59,2,1,1,1,1
4,72,1,5,3,56,2,1,1,1,1
4,85,0,7,5,66,2,1,1,1,1
6,56,1,5,5,41,1,1,1,1,1
7,84,0,6,9,76,2,1,1,1,1
9,58,1,5,2,54,2,1,1,1,1
5,69,0,9,7,57,2,1,1,1,1
9,62,1,8,4,62,2,1,1,1,1
4,54,0,4,9,38,1,1,1,1,1
2,98,1,6,3,73,2,1,1,1,1
3,96,1,7,1,72,2,1,1,1,1
1,53,0,5,9,28,1,1,1,1,1
6,41,1,6,0,28,1,1,1,1,1
6,78,1,8,6,67,2,1,1,1,1
1,88,0,5,9,62,2,1,1,1,1
3,57,0,9,2,36,1,1,1,1,1
5,45,0,7,2,33,1,1,1,1,1
3,98,0,7,2,74,2,1,1,1,1
3,71,1,5,9,52,2,1,1,1,1
3,60,1,8,2,38,1,1,1,1,1
5,79,1,4,1,62,2,1,1,1,1
5,67,0,4,5,50,2,1,1,1,1
4,66,1,7,9,48,1,1,1,1,1
1,41,1,8,2,15,1,1,1,1,1
5,72,0,7,0,51,2,1,1,1,1
5,55,1,4,9,37,1,1,1,1,1
4,78,1,7,8,59,2,1,1,1,1
6,61,0,5,5,46,1,1,1,1,1
4,95,1,9,5,78,2,1,1,1,1
7,82,0,5,9,74,2,1,1,1,1
7,86,0,9,8,78,2,1,1,1,1
2,52,1,8,1,27,1,1,1,1,1
3,95,1,4,9,74,2,1,1,1,1
1,41,1,8,8,15,1,1,1,1,1
8,53,0,8,2,46,1,1,1,1,1
9,95,0,4,2,90,3,1,1,1,1
4,77,1,6,2,58,2,1,1,1,1
6,80,1,6,0,65,2,1,1,1,1
9,67,0,7,9,65,2,1,1,1,1
6,46,1,6,6,36,1,1,1,1,1
9,57,1,5,9,52,2,1,1,1,1
4,95,0,9,6,79,2,1,1,1,1
8,80,1,8,1,74,2,1,1,1,1
9,94,1,7,5,93,3,1,1,1,1
4,75,1,8,3,57,2,1,1,1,1
5,80,1,4,6,65,2,1,1,1,1
8,75,0,6,6,69,2,1,1,1,1
6,83,0,4,3,71,2,1,1,1,1
7,43,0,7,2,31,1,1,1,1,1
3,96,0,9,6,78,2,1,1,1,1
7,69,1,5,8,60,2,1,1,1,1
8,63,1,6,3,58,2,1,1,1,1
6,59,1,4,5,46,1,1,1,1,1
9,85,1,9,6,87,3,1,1,1,1
6,95,0,6,9,81,3,1,1,1,1
9,70,1,8,2,69,2,1,1,1,1
4,63,1,5,4,46,1,1,1,1,1
8,46,0,9,0,41,1,1,1,1,1
4,65,0,6,5,50,2,1,1,1,1
2,52,0,5,4,24,1,1,1,1,1
9,93,1,9,6,97,3,1,1,1,1
5,47,0,8,8,35,1,1,1,1,1
4,94,1,8,3,82,3,1,1,1,1
2,44,1,4,8,24,1,1,1,1,1
1,83,0,7,5,59,2,1,1,1,1
7,52,0,4,4,42,1,1,1,1,1
6,68,0,5,1,56,2,1,1,1,1
2,59,1,4,0,30,1,1,1,1,1
8,53,1,9,7,49,1,1,1,1,1
4,71,1,6,5,56,2,1,1,1,1
8,99,0,9,6,98,3,1,1,1,1
7,89,1,4,5,79,2,1,1,1,1
5,66,1,7,9,54,2,1,1,1,1
8,95,1,9,6,93,3,1,1,1,1
9,64,1,9,8,63,2,1,1,1,1
5,91,0,9,4,76,2,1,1,1,1
5,43,1,7,0,27,1,1,1,1,1
2,60,0,9,0,35,1,1,1,1,1
5,57,0,5,8,39,1,1,1,1,1
3,78,1,8,4,59,2,1,1,1,1
7,54,1,7,1,50,2,1,1,1,1
5,92,0,5,2,77,2,1,1,1,1
8,77,1,7,0,70,2,1,1,1,1
1,87,0,7,5,62,2,1,1,1,1
3,91,1,8,5,71,2,1,1,1,1
3,63,1,6,2,39,1,1,1,1,1
9,47,0,5,2,41,1,1,1,1,1
5,67,1,7,6,51,2,1,1,1,1
9,60,0,7,0,52,2,1,1,1,1
9,55,0,4,4,49,1,1,1,1,1
1,99,1,9,2,76,2,1,1,1,1
2,93,0,6,4,71,2,1,1,1,1
5,55,1,8,3,42,1,1,1,1,1
4,74,1,5,5,60,2,1,1,1,1
9,56,1,7,8,53,2,1,1,1,1
7,48,0,9,1,40,1,1,1,1,1
6,96,1,5,9,85,3,1,1,1,1
7,74,1,8,7,70,2,1,1,1,1
1,91,0,6,1,63,2,1,1,1,1
1,68,0,4,3,42,1,1,1,1,1
8,78,0,6,8,73,2,1,1,1,1
2,57,0,4,3,35,1,1,1,1,1
9,51,1,5,6,48,1,1,1,1,1
7,58,1,6,4,49,1,1,1,1,1
6,87,1,6,1,75,2,1,1,1,1
1,61,1,6,7,35,1,1,1,1,1
1,98,0,8,9,70,2,1,1,1,1
2,95,0,5,9,71,2,1,1,1,1
6,88,1,4,1,74,2,1,1,1,1
6,91,0,6,2,77,2,1,1,1,1
2,54,0,5,9,30,1,1,1,1,1
1,40,0,9,6,13,1,1,1,1,1
5,41,0,8,4,26,1,1,1,1,1
5,47,0,8,9,35,1,1,1,1,1
2,61,1,9,2,40,1,1,1,1,1
6,64,1,5,1,55,2,1,1,1,1
9,41,0,4,5,37,1,1,1,1,1
2,90,0,5,9,64,2,1,1,1,1
2,48,1,5,0,23,1,1,1,1,1
3,48,1,7,7,27,1,1,1,1,1
7,52,0,8,4,42,1,1,1,1,1
6,45,0,4,4,34,1,1,1,1,1
8,69,0,7,1,63,2,1,1,1,1
8,54,1,9,6,50,2,1,1,1,1
6,90,0,5,4,75,2,1,1,1,1
3,92,0,9,7,74,2,1,1,1,1
3,54,0,8,4,39,1,1,1,1,1
1,89,0,7,8,63,2,1,1,1,1
7,46,0,7,4,36,1,1,1,1,1
5,97,0,4,2,84,3,1,1,1,1
4,50,0,5,1,30,1,1,1,1,1
4,79,0,4,4,60,2,1,1,1,1
4,77,1,7,9,61,2,1,1,1,1
6,79,1,7,9,70,2,1,1,1,1
8,41,1,4,4,32,1,1,1,1,1
8,90,0,7,5,87,3,1,1,1,1
5,87,1,6,1,72,2,1,1,1,1
6,78,1,8,4,68,2,1,1,1,1
4,49,1,5,0,29,1,1,1,1,1
9,83,1,8,2,78,2,1,1,1,1
8,56,1,5,2,45,1,1,1,1,1
1,46,0,7,2,20,1,1,1,1,1
2,93,1,4,2,66,2,1,1,1,1
9,79,0,4,7,77,2,1,1,1,1
8,78,0,7,0,72,2,1,1,1,1
3,43,1,5,5,26,1,1,1,1,1
8,74,0,7,5,67,2,1,1,1,1
1,90,1,5,0,67,2,1,1,1,1
4,86,0,7,0,68,2,1,1,1,1
3,75,0,7,2,56,2,1,1,1,1
6,70,1,7,7,61,2,1,1,1,1
7,64,0,4,5,50,2,1,1,1,1
4,80,0,5,3,68,2,1,1,1,1
7,52,0,9,4,47,1,1,1,1,1
9,57,0,7,9,56,2,1,1,1,1
2,60,0,8,2,40,1,1,1,1,1
3,87,0,8,5,68,2,1,1,1,1
5,40,0,4,5,26,1,1,1,1,1
3,75,0,6,5,55,2,1,1,1,1
8,89,1,9,8,84,3,1,1,1,1
8,47,0,4,9,40,1,1,1,1,1
8,91,1,6,7,85,3,1,1,1,1
9,87,1,4,5,85,3,1,1,1,1
4,60,0,8,1,40,1,1,1,1,1
5,82,0,7,3,68,2,1,1,1,1
5,91,1,5,5,74,2,1,1,1,1
8,92,1,7,8,90,3,1,1,1,1
7,92,1,8,1,82,3,1,1,1,1
9,60,0,5,5,57,2,1,1,1,1
8,66,0,6,9,61,2,1,1,1,1
2,58,0,6,9,38,1,1,1,1,1
4,62,1,8,9,46,1,1,1,1,1
6,90,0,5,6,80,3,1,1,1,1
2,89,0,7,7,67,2,1,1,1,1
7,90,0,8,8,84,3,1,1,1,1
3,82,0,6,4,58,2,1,1,1,1
3,74,1,8,8,55,2,1,1,1,1
2,79,0,7,8,57,2,1,1,1,1
8,91,0,4,6,87,3,1,1,1,1
6,90,1,9,1,80,3,1,1,1,1
1,81,0,9,7,54,2,1,1,1,1
1,87,1,9,4,64,2,1,1,1,1
7,44,1,4,7,33,1,1,1,1,1
8,91,0,7,1,83,3,1,1,1,1
5,80,1,5,6,66,2,1,1,1,1
5,47,0,8,4,33,1,1,1,1,1
4,50,1,7,3,31,1,1,1,1,1
6,55,1,4,9,40,1,1,1,1,1
6,78,0,6,5,66,2,1,1,1,1
3,86,1,9,4,67,2,1,1,1,1
9,63,0,9,5,64,2,1,1,1,1
7,60,0,7,8,52,2,1,1,1,1
1,91,0,9,0,68,2,1,1,1,1
7,62,0,9,0,58,2,1,1,1,1
5,88,1,7,5,72,2,1,1,1,1
5,77,0,7,1,65,2,1,1,1,1
2,86,1,4,7,65,2,1,1,1,1
4,47,0,4,6,24,1,1,1,1,1
6,46,1,9,5,35,1,1,1,1,1
7,41,1,7,3,34,1,1,1,1,1
5,69,1,7,8,57,2,1,1,1,1
9,52,1,9,6,54,2,1,1,1,1
3,62,0,5,6,42,1,1,1,1,1
1,68,0,6,4,39,1,1,1,1,1
4,77,1,8,0,62,2,1,1,1,1
9,76,1,8,1,71,2,1,1,1,1
4,59,0,9,7,42,1,1,1,1,1
2,72,1,8,4,52,2,1,1,1,1
5,68,1,4,1,54,2,1,1,1,1
3,89,0,4,4,68,2,1,1,1,1
9,54,1,5,7,50,2,1,1,1,1
4,62,1,9,3,46,1,1,1,1,1
6,81,0,4,2,68,2,1,1,1,1
2,42,1,9,4,19,1,1,1,1,1
6,76,0,9,6,68,2,1,1,1,1
3,95,0,7,1,74,2,1,1,1,1
9,68,0,6,0,63,2,1,1,1,1
2,84,0,6,4,60,2,1,1,1,1
9,47,1,9,6,47,1,1,1,1,1
5,61,0,6,7,47,1,1,1,1,1
8,92,0,6,7,87,3,1,1,1,1
2,68,1,8,9,45,1,1,1,1,1
6,41,0,8,8,31,1,1,1,1,1
3,80,1,7,0,61,2,1,1,1,1
5,88,0,5,6,73,2,1,1,1,1
8,98,0,4,9,92,3,1,1,1,1
1,89,0,4,7,65,2,1,1,1,1
5,84,0,8,5,69,2,1,1,1,1
3,40,1,9,9,20,1,1,1,1,1
4,83,1,6,3,66,2,1,1,1,1
2,59,1,7,6,38,1,1,1,1,1
9,91,0,5,2,81,3,1,1,1,1
3,60,0,8,1,39,1,1,1,1,1
2,76,0,9,5,53,2,1,1,1,1
9,47,1,7,1,44,1,1,1,1,1
7,66,0,9,5,58,2,1,1,1,1
6,86,1,7,9,79,2,1,1,1,1
1,98,1,8,2,75,2,1,1,1,1
5,74,1,7,1,59,2,1,1,1,1
3,45,0,6,7,23,1,1,1,1,1
1,99,0,7,3,74,2,1,1,1,1
4,84,0,5,3,65,2,1,1,1,1
2,83,0,7,6,60,2,1,1,1,1
2,58,1,4,7,32,1,1,1,1,1
3,57,1,7,8,38,1,1,1,1,1
8,95,0,9,9,91,3,1,1,1,1
8,40,0,8,7,34,1,1,1,1,1
7,64,0,4,3,46,1,1,1,1,1
6,66,1,8,1,55,2,1,1,1,1
9,46,0,9,9,43,1,1,1,1,1
4,83,1,5,4,67,2,1,1,1,1
1,81,1,6,6,56,2,1,1,1,1
8,68,1,5,1,58,2,1,1,1,1
7,70,1,4,3,60,2,1,1,1,1
7,83,1,9,5,77,2,1,1,1,1
3,82,1,9,7,69,2,1,1,1,1
4,75,1,6,9,60,2,1,1,1,1
9,58,0,7,5,52,2,1,1,1,1
6,45,0,4,5,36,1,1,1,1,1
5,64,0,6,5,49,1,1,1,1,1
3,70,1,8,3,50,2,1,1,1,1
9,48,1,6,2,48,1,1,1,1,1
5,59,0,8,0,43,1,1,1,1,1
5,49,1,8,1,34,1,1,1,1,1
4,76,1,9,1,57,2,1,1,1,1
4,66,1,6,9,50,2,1,1,1,1
1,52,1,9,6,28,1,1,1,1,1
7,80,1,9,5,72,2,1,1,1,1
9,41,1,5,7,38,1,1,1,1,1
3,89,1,5,8,68,2,1,1,1,1
2,60,1,9,4,41,1,1,1,1,1
3,72,1,9,2,53,2,1,1,1,1
1,63,1,8,3,36,1,1,1,1,1
6,92,1,9,7,80,3,1,1,1,1
7,83,1,4,2,73,2,1,1,1,1
2,81,0,6,1,59,2,1,1,1,1
8,73,1,4,6,67,2,1,1,1,1
6,99,1,5,3,91,3,1,1,1,1
4,48,0,4,7,34,1,1,1,1,1
5,41,0,7,0,23,1,1,1,1,1
8,94,0,7,7,86,3,1,1,1,1
3,95,1,5,4,73,2,1,1,1,1
3,69,1,4,1,49,1,1,1,1,1
4,61,0,6,0,43,1,1,1,1,1
1,85,0,5,5,61,2,1,1,1,1
9,50,0,7,8,45,1,1,1,1,1
8,94,1,5,8,85,3,1,1,1,1
8,82,1,4,8,75,2,1,1,1,1
6,56,0,4,3,44,1,1,1,1,1
7,75,1,4,5,66,2,1,1,1,1
6,52,1,8,9,45,1,1,1,1,1
9,46,0,4,5,40,1,1,1,1,1
3,55,0,9,4,38,1,1,1,1,1
3,72,0,7,1,50,2,1,1,1,1
3,84,1,7,6,67,2,1,1,1,1
3,40,1,8,0,21,1,1,1,1,1
9,50,1,7,5,51,2,1,1,1,1
4,45,1,7,4,25,1,1,1,1,1
7,59,1,5,4,53,2,1,1,1,1
9,74,0,4,7,71,2,1,1,1,1
7,83,1,9,8,77,2,1,1,1,1
9,76,1,9,6,75,2,1,1,1,1
3,80,0,5,9,60,2,1,1,1,1
4,65,0,9,7,49,1,1,1,1,1
8,97,0,5,1,87,3,1,1,1,1
6,51,0,9,1,40,1,1,1,1,1
5,69,1,7,7,56,2,1,1,1,1
4,67,1,6,5,49,1,1,1,1,1
8,66,0,4,7,59,2,1,1,1,1
1,81,1,6,8,59,2,1,1,1,1
9,58,0,7,8,54,2,1,1,1,1
1,44,1,8,5,17,1,1,1,1,1
8,97,1,5,7,90,3,1,1,1,1
4,44,1,9,1,23,1,1,1,1,1
9,80,0,9,7,82,3,1,1,1,1
5,66,0,7,2,49,1,1,1,1,1
3,67,1,9,0,50,2,1,1,1,1
9,65,1,7,6,60,2,1,1,1,1
9,66,0,6,0,60,2,1,1,1,1
4,91,0,8,0,74,2,1,1,1,1
4,88,1,5,0,71,2,1,1,1,1
8,81,1,9,3,77,2,1,1,1,1
2,60,0,8,3,34,1,1,1,1,1
9,40,1,8,9,39,1,1,1,1,1
6,93,0,8,5,85,3,1,1,1,1
9,67,0,4,9,64,2,1,1,1,1
