Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
4,0,1,3,50,2,1,1,1,1
2,0,2,2,68,2,1,1,1,1
4,0,5,3,47,1,1,1,1,1
5,0,4,5,56,2,1,1,1,1
1,0,5,2,40,1,1,1,1,1
2,0,5,3,68,2,1,1,1,1
3,0,1,3,26,1,1,1,1,1
2,0,3,3,55,2,1,1,1,1
4,1,5,5,84,3,1,1,1,1
4,0,1,5,40,1,1,1,1,1
4,1,3,4,85,3,1,1,1,1
5,1,1,3,85,3,1,1,1,1
2,0,5,1,40,1,1,1,1,1
3,0,4,2,68,2,1,1,1,1
3,1,2,3,74,2,1,1,1,1
4,1,4,5,90,3,1,1,1,1
4,1,5,1,82,3,1,1,1,1
5,0,2,3,57,2,1,1,1,1
4,0,3,5,61,2,1,1,1,1
1,0,3,5,38,1,1,1,1,1
2,1,5,5,46,1,1,1,1,1
3,0,2,4,80,3,1,1,1,1
1,0,4,4,67,2,1,1,1,1
4,0,5,5,84,3,1,1,1,1
2,0,3,3,58,2,1,1,1,1
2,1,5,5,55,2,1,1,1,1
1,0,4,5,57,2,1,1,1,1
4,0,1,4,87,3,1,1,1,1
3,1,5,1,80,3,1,1,1,1
1,0,5,4,54,2,1,1,1,1
1,1,5,3,64,2,1,1,1,1
4,1,1,4,33,1,1,1,1,1
4,0,4,1,83,3,1,1,1,1
3,1,2,4,66,2,1,1,1,1
3,0,5,3,33,1,1,1,1,1
2,1,4,2,31,1,1,1,1,1
3,1,1,5,40,1,1,1,1,1
3,0,3,3,66,2,1,1,1,1
2,1,5,3,67,2,1,1,1,1
5,0,5,3,64,2,1,1,1,1
4,0,4,5,52,2,1,1,1,1
1,0,5,1,68,2,1,1,1,1
4,0,5,1,58,2,1,1,1,1
3,1,4,3,72,2,1,1,1,1
3,0,4,1,65,2,1,1,1,1
1,1,1,4,65,2,1,1,1,1
2,0,1,4,24,1,1,1,1,1
3,1,5,3,35,1,1,1,1,1
4,1,4,2,34,1,1,1,1,1
3,1,4,5,57,2,1,1,1,1
5,1,5,4,54,2,1,1,1,1
2,0,2,4,42,1,1,1,1,1
1,0,3,3,39,1,1,1,1,1
2,1,5,1,62,2,1,1,1,1
5,1,5,1,71,2,1,1,1,1
2,0,5,4,42,1,1,1,1,1
1,1,5,3,52,2,1,1,1,1
3,1,1,1,54,2,1,1,1,1
2,0,1,3,68,2,1,1,1,1
5,1,2,4,50,2,1,1,1,1
2,1,5,2,46,1,1,1,1,1
3,0,1,2,68,2,1,1,1,1
1,1,5,3,19,1,1,1,1,1
3,0,5,4,68,2,1,1,1,1
2,0,4,1,74,2,1,1,1,1
5,0,3,1,63,2,1,1,1,1
1,0,3,3,60,2,1,1,1,1
5,1,5,4,47,1,1,1,1,1
3,0,3,4,47,1,1,1,1,1
4,0,3,4,87,3,1,1,1,1
1,1,5,5,45,1,1,1,1,1
3,0,5,5,31,1,1,1,1,1
2,1,4,1,61,2,1,1,1,1
3,0,2,4,73,2,1,1,1,1
4,0,1,5,92,3,1,1,1,1
1,0,1,4,65,2,1,1,1,1
3,0,5,3,69,2,1,1,1,1
2,1,5,5,20,1,1,1,1,1
2,1,3,2,66,2,1,1,1,1
1,1,4,4,38,1,1,1,1,1
5,0,2,2,81,3,1,1,1,1
2,0,5,1,39,1,1,1,1,1
1,0,5,3,53,2,1,1,1,1
5,1,4,1,44,1,1,1,1,1
4,0,5,3,58,2,1,1,1,1
3,1,4,5,79,2,1,1,1,1
1,1,5,2,75,2,1,1,1,1
3,1,4,1,59,2,1,1,1,1
2,0,3,4,23,1,1,1,1,1
1,0,4,2,74,2,1,1,1,1
2,0,2,2,65,2,1,1,1,1
1,0,4,4,60,2,1,1,1,1
1,1,1,4,32,1,1,1,1,1
2,1,4,5,38,1,1,1,1,1
4,0,5,5,91,3,1,1,1,1
4,0,5,4,34,1,1,1,1,1
4,0,1,2,46,1,1,1,1,1
3,1,5,1,55,2,1,1,1,1
5,0,5,5,43,1,1,1,1,1
2,1,2,3,67,2,1,1,1,1
1,1,3,4,56,2,1,1,1,1
4,1,2,1,58,2,1,1,1,1
4,1,1,2,60,2,1,1,1,1
4,1,5,3,77,2,1,1,1,1
2,1,5,4,69,2,1,1,1,1
2,1,3,5,60,2,1,1,1,1
5,0,4,3,52,2,1,1,1,1
3,0,1,3,36,1,1,1,1,1
3,0,3,3,49,1,1,1,1,1
2,1,5,2,50,2,1,1,1,1
5,1,3,2,48,1,1,1,1,1
3,0,5,1,43,1,1,1,1,1
3,1,5,1,34,1,1,1,1,1
2,1,5,1,57,2,1,1,1,1
2,1,3,5,50,2,1,1,1,1
1,1,5,4,28,1,1,1,1,1
4,1,5,3,72,2,1,1,1,1
5,1,2,4,38,1,1,1,1,1
2,1,2,5,68,2,1,1,1,1
1,1,5,3,41,1,1,1,1,1
2,1,5,2,53,2,1,1,1,1
1,1,5,2,36,1,1,1,1,1
3,1,5,4,80,3,1,1,1,1
4,1,1,2,73,2,1,1,1,1
1,0,3,1,59,2,1,1,1,1
4,1,1,4,67,2,1,1,1,1
3,1,2,2,91,3,1,1,1,1
2,0,1,4,34,1,1,1,1,1
3,0,4,1,23,1,1,1,1,1
4,0,4,4,86,3,1,1,1,1
2,1,2,3,73,2,1,1,1,1
2,1,1,1,49,1,1,1,1,1
2,0,3,1,43,1,1,1,1,1
1,0,2,3,61,2,1,1,1,1
5,0,4,5,45,1,1,1,1,1
4,1,2,5,85,3,1,1,1,1
4,1,1,5,75,2,1,1,1,1
3,0,1,2,44,1,1,1,1,1
4,1,1,3,66,2,1,1,1,1
3,1,5,5,45,1,1,1,1,1
5,0,1,3,40,1,1,1,1,1
2,0,5,3,38,1,1,1,1,1
2,0,4,1,50,2,1,1,1,1
2,1,4,4,67,2,1,1,1,1
2,1,5,1,21,1,1,1,1,1
5,1,4,3,51,2,1,1,1,1
2,1,4,3,25,1,1,1,1,1
4,1,2,3,53,2,1,1,1,1
5,0,1,4,71,2,1,1,1,1
4,1,5,5,77,2,1,1,1,1
5,1,5,4,75,2,1,1,1,1
2,0,2,5,60,2,1,1,1,1
2,0,5,4,49,1,1,1,1,1
4,0,2,1,87,3,1,1,1,1
3,0,5,1,40,1,1,1,1,1
3,1,4,4,56,2,1,1,1,1
2,1,3,3,49,1,1,1,1,1
4,0,1,4,59,2,1,1,1,1
1,1,3,5,59,2,1,1,1,1
5,0,4,5,54,2,1,1,1,1
1,1,5,3,17,1,1,1,1,1
4,1,2,4,90,3,1,1,1,1
2,1,5,1,23,1,1,1,1,1
5,0,5,4,82,3,1,1,1,1
3,0,4,2,49,1,1,1,1,1
2,1,5,1,50,2,1,1,1,1
5,1,4,4,60,2,1,1,1,1
5,0,3,1,60,2,1,1,1,1
2,0,5,1,74,2,1,1,1,1
2,1,2,1,71,2,1,1,1,1
4,1,5,2,77,2,1,1,1,1
1,0,5,2,34,1,1,1,1,1
5,1,5,5,39,1,1,1,1,1
3,0,5,3,85,3,1,1,1,1
5,0,1,5,64,2,1,1,1,1
4,1,5,2,87,3,1,1,1,1
4,1,4,5,91,3,1,1,1,1
1,1,1,3,73,2,1,1,1,1
2,0,1,4,34,1,1,1,1,1
1,0,5,1,70,2,1,1,1,1
3,0,5,3,42,1,1,1,1,1
3,1,5,5,55,2,1,1,1,1
3,1,5,1,45,1,1,1,1,1
2,0,5,4,49,1,1,1,1,1
3,0,4,5,37,1,1,1,1,1
2,1,5,3,55,2,1,1,1,1
1,0,2,5,38,1,1,1,1,1
3,1,5,2,35,1,1,1,1,1
5,1,1,1,41,1,1,1,1,1
5,0,2,5,43,1,1,1,1,1
2,0,5,4,46,1,1,1,1,1
2,0,2,1,69,2,1,1,1,1
1,0,1,2,37,1,1,1,1,1
1,0,5,2,31,1,1,1,1,1
4,1,2,4,90,3,1,1,1,1
1,0,4,1,33,1,1,1,1,1
4,1,4,3,44,1,1,1,1,1
4,0,5,5,62,2,1,1,1,1
4,0,5,4,41,1,1,1,1,1
3,0,2,3,38,1,1,1,1,1
5,0,1,2,45,1,1,1,1,1
2,0,4,3,34,1,1,1,1,1
2,0,3,1,72,2,1,1,1,1
3,1,5,3,29,1,1,1,1,1
4,0,4,2,83,3,1,1,1,1
3,0,5,2,61,2,1,1,1,1
2,0,2,4,75,2,1,1,1,1
3,0,4,2,63,2,1,1,1,1
2,1,4,2,36,1,1,1,1,1
5,1,2,4,62,2,1,1,1,1
2,1,5,2,49,1,1,1,1,1
2,1,5,5,46,1,1,1,1,1
4,1,3,5,69,2,1,1,1,1
4,1,3,1,35,1,1,1,1,1
2,0,5,5,38,1,1,1,1,1
3,0,5,4,62,2,1,1,1,1
2,1,5,3,30,1,1,1,1,1
3,0,5,1,52,2,1,1,1,1
1,0,4,5,16,1,1,1,1,1
4,0,3,4,66,2,1,1,1,1
1,0,2,2,20,1,1,1,1,1
4,0,1,4,86,3,1,1,1,1
5,1,2,3,38,1,1,1,1,1
1,1,5,5,30,1,1,1,1,1
4,1,1,3,71,2,1,1,1,1
4,1,4,4,49,1,1,1,1,1
3,1,5,2,79,2,1,1,1,1
3,1,3,2,69,2,1,1,1,1
3,0,1,2,56,2,1,1,1,1
5,1,5,1,47,1,1,1,1,1
1,0,5,5,41,1,1,1,1,1
1,0,4,2,58,2,1,1,1,1
3,1,1,1,38,1,1,1,1,1
4,1,5,3,52,2,1,1,1,1
2,1,5,4,25,1,1,1,1,1
1,0,4,2,62,2,1,1,1,1
5,1,5,2,60,2,1,1,1,1
1,1,1,3,63,2,1,1,1,1
2,1,5,4,72,2,1,1,1,1
4,0,3,3,84,3,1,1,1,1
2,1,4,1,74,2,1,1,1,1
2,1,1,4,61,2,1,1,1,1
4,0,5,4,77,2,1,1,1,1
1,0,3,1,36,1,1,1,1,1
3,0,5,3,65,2,1,1,1,1
1,1,5,5,23,1,1,1,1,1
1,1,3,4,60,2,1,1,1,1
4,0,1,3,83,3,1,1,1,1
2,1,5,5,56,2,1,1,1,1
1,0,5,5,37,1,1,1,1,1
4,0,2,5,43,1,1,1,1,1
3,0,4,1,76,2,1,1,1,1
3,0,5,4,83,3,1,1,1,1
1,0,3,5,63,2,1,1,1,1
3,1,4,1,39,1,1,1,1,1
5,1,1,5,48,1,1,1,1,1
5,1,4,3,53,2,1,1,1,1
4,1,2,5,84,3,1,1,1,1
3,0,1,2,63,2,1,1,1,1
1,1,5,4,73,2,1,1,1,1
5,0,5,3,99,3,1,1,1,1
1,0,1,4,52,2,1,1,1,1
4,1,1,2,58,2,1,1,1,1
3,1,2,4,50,2,1,1,1,1
2,0,3,1,18,1,1,1,1,1
4,1,1,4,62,2,1,1,1,1
4,1,3,1,87,3,1,1,1,1
5,1,4,4,53,2,1,1,1,1
4,1,5,1,87,3,1,1,1,1
2,0,2,4,37,1,1,1,1,1
1,0,5,1,31,1,1,1,1,1
4,1,1,3,63,2,1,1,1,1
2,0,5,5,81,3,1,1,1,1
4,0,5,4,95,3,1,1,1,1
4,1,3,2,45,1,1,1,1,1
3,1,1,1,48,1,1,1,1,1
1,0,5,3,47,1,1,1,1,1
4,0,2,2,31,1,1,1,1,1
3,0,5,2,43,1,1,1,1,1
4,1,4,2,82,3,1,1,1,1
5,0,4,3,80,3,1,1,1,1
4,0,3,3,76,2,1,1,1,1
4,1,5,1,57,2,1,1,1,1
1,0,4,1,64,2,1,1,1,1
2,1,3,2,35,1,1,1,1,1
1,1,5,3,24,1,1,1,1,1
1,0,1,1,30,1,1,1,1,1
1,1,2,4,38,1,1,1,1,1
2,1,5,4,45,1,1,1,1,1
1,0,5,4,44,1,1,1,1,1
2,1,4,2,53,2,1,1,1,1
1,0,4,3,53,2,1,1,1,1
3,1,2,2,84,3,1,1,1,1
2,1,1,3,47,1,1,1,1,1
4,0,5,2,76,2,1,1,1,1
2,0,5,3,57,2,1,1,1,1
1,0,4,3,71,2,1,1,1,1
1,1,5,4,74,2,1,1,1,1
2,0,1,3,54,2,1,1,1,1
5,1,3,5,84,3,1,1,1,1
4,0,1,5,62,2,1,1,1,1
1,1,5,5,35,1,1,1,1,1
5,0,5,5,62,2,1,1,1,1
1,1,2,5,30,1,1,1,1,1
2,0,5,2,47,1,1,1,1,1
1,1,4,1,25,1,1,1,1,1
2,1,5,5,40,1,1,1,1,1
3,1,2,2,56,2,1,1,1,1
5,1,5,4,38,1,1,1,1,1
5,0,1,2,86,3,1,1,1,1
4,1,5,1,38,1,1,1,1,1
2,0,1,4,17,1,1,1,1,1
2,1,1,2,75,2,1,1,1,1
3,0,5,3,48,1,1,1,1,1
3,1,1,4,87,3,1,1,1,1
1,1,5,4,32,1,1,1,1,1
3,0,3,5,68,2,1,1,1,1
2,0,2,1,42,1,1,1,1,1
4,1,5,5,96,3,1,1,1,1
1,0,3,5,42,1,1,1,1,1
1,0,1,2,18,1,1,1,1,1
5,0,1,1,41,1,1,1,1,1
2,1,2,1,54,2,1,1,1,1
1,0,3,4,67,2,1,1,1,1
4,1,3,5,57,2,1,1,1,1
3,0,5,3,65,2,1,1,1,1
3,0,1,1,62,2,1,1,1,1
1,1,4,5,56,2,1,1,1,1
5,0,5,4,39,1,1,1,1,1
4,0,5,5,38,1,1,1,1,1
4,0,5,2,65,2,1,1,1,1
5,0,2,4,68,2,1,1,1,1
3,0,2,3,82,3,1,1,1,1
3,0,5,2,44,1,1,1,1,1
3,0,5,4,67,2,1,1,1,1
1,1,4,1,53,2,1,1,1,1
2,1,3,3,61,2,1,1,1,1
2,1,3,4,53,2,1,1,1,1
4,1,1,2,61,2,1,1,1,1
5,1,3,5,49,1,1,1,1,1
3,0,3,3,61,2,1,1,1,1
3,1,4,5,38,1,1,1,1,1
1,1,3,1,76,2,1,1,1,1
2,0,4,5,47,1,1,1,1,1
2,1,2,1,32,1,1,1,1,1
5,0,4,3,71,2,1,1,1,1
4,0,2,2,69,2,1,1,1,1
4,1,4,5,53,2,1,1,1,1
5,1,5,5,100,,1,1,1,1
3,0,5,5,49,1,1,1,1,1
2,0,2,4,48,1,1,1,1,1
1,1,2,5,45,1,1,1,1,1
4,0,3,3,40,1,1,1,1,1
4,1,2,5,71,2,1,1,1,1
1,1,4,4,34,1,1,1,1,1
4,1,5,1,76,2,1,1,1,1
3,1,5,5,29,1,1,1,1,1
4,0,3,1,71,2,1,1,1,1
2,0,4,5,69,2,1,1,1,1
3,1,4,5,58,2,1,1,1,1
4,1,1,2,43,1,1,1,1,1
1,0,2,5,17,1,1,1,1,1
1,0,3,4,41,1,1,1,1,1
2,0,5,3,27,1,1,1,1,1
2,0,5,1,45,1,1,1,1,1
1,0,1,3,65,2,1,1,1,1
2,1,4,5,31,1,1,1,1,1
1,1,2,3,14,1,1,1,1,1
1,1,5,3,33,1,1,1,1,1
3,1,1,4,60,2,1,1,1,1
3,0,4,3,34,1,1,1,1,1
4,0,5,2,82,3,1,1,1,1
1,1,5,2,40,1,1,1,1,1
2,1,4,3,66,2,1,1,1,1
4,0,4,2,76,2,1,1,1,1
3,1,3,3,46,1,1,1,1,1
1,1,5,5,31,1,1,1,1,1
2,0,4,3,57,2,1,1,1,1
1,0,5,2,65,2,1,1,1,1
1,0,5,2,38,1,1,1,1,1
3,1,1,1,46,1,1,1,1,1
4,0,2,5,53,2,1,1,1,1
4,0,5,2,97,3,1,1,1,1
2,1,3,2,63,2,1,1,1,1
2,0,4,5,55,2,1,1,1,1
3,1,2,2,79,2,1,1,1,1
2,1,3,4,26,1,1,1,1,1
1,1,5,1,55,2,1,1,1,1
3,1,2,4,37,1,1,1,1,1
3,0,5,1,78,2,1,1,1,1
3,1,3,4,45,1,1,1,1,1
3,0,4,1,45,1,1,1,1,1
3,0,4,5,34,1,1,1,1,1
2,0,3,2,66,2,1,1,1,1
4,0,5,4,79,2,1,1,1,1
3,0,5,5,63,2,1,1,1,1
2,1,3,4,32,1,1,1,1,1
1,0,1,3,64,2,1,1,1,1
5,1,3,3,78,2,1,1,1,1
1,1,3,4,69,2,1,1,1,1
2,1,5,5,46,1,1,1,1,1
1,0,4,3,54,2,1,1,1,1
3,0,5,5,51,2,1,1,1,1
2,0,3,1,78,2,1,1,1,1
3,0,2,3,54,2,1,1,1,1
3,1,4,2,80,3,1,1,1,1
5,0,4,2,67,2,1,1,1,1
1,0,3,1,48,1,1,1,1,1
1,1,5,2,61,2,1,1,1,1
3,1,2,4,83,3,1,1,1,1
3,1,3,4,82,3,1,1,1,1
4,1,2,4,78,2,1,1,1,1
2,1,4,4,78,2,1,1,1,1
2,1,2,1,70,2,1,1,1,1
1,1,3,4,48,1,1,1,1,1
2,0,1,1,26,1,1,1,1,1
1,0,1,5,46,1,1,1,1,1
3,1,2,2,42,1,1,1,1,1
3,1,5,3,46,1,1,1,1,1
4,0,3,1,91,3,1,1,1,1
2,1,5,2,47,1,1,1,1,1
2,1,1,2,61,2,1,1,1,1
1,1,4,5,31,1,1,1,1,1
4,1,3,5,71,2,1,1,1,1
2,1,3,5,66,2,1,1,1,1
1,0,1,1,52,2,1,1,1,1
2,1,5,4,71,2,1,1,1,1
2,1,4,2,60,2,1,1,1,1
1,1,5,2,32,1,1,1,1,1
2,0,4,3,33,1,1,1,1,1
1,0,1,1,56,2,1,1,1,1
4,1,3,1,32,1,1,1,1,1
3,1,4,3,76,2,1,1,1,1
5,1,3,4,40,1,1,1,1,1
4,1,2,5,60,2,1,1,1,1
2,0,2,5,54,2,1,1,1,1
3,0,1,1,59,2,1,1,1,1
4,1,1,4,74,2,1,1,1,1
3,1,5,4,29,1,1,1,1,1
4,0,1,1,61,2,1,1,1,1
3,0,2,3,50,2,1,1,1,1
1,1,4,4,36,1,1,1,1,1
3,1,5,2,41,1,1,1,1,1
2,1,1,1,60,2,1,1,1,1
3,0,5,3,56,2,1,1,1,1
2,0,5,5,23,1,1,1,1,1
3,0,2,3,63,2,1,1,1,1
1,0,5,2,54,2,1,1,1,1
3,1,4,1,64,2,1,1,1,1
3,0,2,3,64,2,1,1,1,1
3,0,1,1,58,2,1,1,1,1
3,0,2,4,38,1,1,1,1,1
4,1,2,1,60,2,1,1,1,1
3,0,2,5,79,2,1,1,1,1
1,0,1,5,57,2,1,1,1,1
4,0,1,2,69,2,1,1,1,1
2,1,2,3,51,2,1,1,1,1
5,0,2,5,86,3,1,1,1,1
3,1,5,4,90,3,1,1,1,1
1,1,4,2,57,2,1,1,1,1
2,0,5,2,61,2,1,1,1,1
2,1,5,1,71,2,1,1,1,1
2,0,4,5,30,1,1,1,1,1
3,1,5,5,34,1,1,1,1,1
4,1,4,1,34,1,1,1,1,1
2,0,2,5,58,2,1,1,1,1
3,0,5,1,85,3,1,1,1,1
1,1,4,2,55,2,1,1,1,1
4,1,5,2,51,2,1,1,1,1
4,1,4,5,53,2,1,1,1,1
5,1,1,5,51,2,1,1,1,1
2,0,4,1,31,1,1,1,1,1
1,1,2,2,44,1,1,1,1,1
1,1,3,2,48,1,1,1,1,1
2,0,1,5,41,1,1,1,1,1
3,1,3,3,40,1,1,1,1,1
1,0,2,5,72,2,1,1,1,1
2,0,3,5,41,1,1,1,1,1
2,0,4,3,78,2,1,1,1,1
4,1,3,5,70,2,1,1,1,1
2,0,5,1,41,1,1,1,1,1
5,0,2,2,78,2,1,1,1,1
4,0,5,2,70,2,1,1,1,1
2,1,3,5,61,2,1,1,1,1
1,1,5,5,33,1,1,1,1,1
1,1,1,3,71,2,1,1,1,1
1,1,3,5,51,2,1,1,1,1
1,0,5,1,72,2,1,1,1,1
4,0,5,5,69,2,1,1,1,1
2,0,4,3,21,1,1,1,1,1
3,1,3,2,61,2,1,1,1,1
2,0,5,1,76,2,1,1,1,1
3,1,1,3,30,1,1,1,1,1
4,1,4,2,59,2,1,1,1,1
1,1,3,2,45,1,1,1,1,1
3,0,4,5,39,1,1,1,1,1
3,0,3,1,53,2,1,1,1,1
2,1,3,1,43,1,1,1,1,1
3,0,2,5,85,3,1,1,1,1
3,1,5,3,70,2,1,1,1,1
1,0,3,1,56,2,1,1,1,1
5,1,1,1,52,2,1,1,1,1
4,1,5,4,65,2,1,1,1,1
2,1,5,1,39,1,1,1,1,1
4,0,2,2,48,1,1,1,1,1
5,0,5,2,47,1,1,1,1,1
2,0,5,1,41,1,1,1,1,1
2,0,3,3,72,2,1,1,1,1
1,0,1,5,61,2,1,1,1,1
4,1,3,1,74,2,1,1,1,1
1,0,1,4,38,1,1,1,1,1
4,1,1,2,42,1,1,1,1,1
4,0,4,1,60,2,1,1,1,1
4,0,3,4,35,1,1,1,1,1
2,0,2,3,52,2,1,1,1,1
1,1,5,3,61,2,1,1,1,1
2,0,5,2,32,1,1,1,1,1
5,1,4,5,95,3,1,1,1,1
3,0,2,4,53,2,1,1,1,1
1,1,5,3,54,2,1,1,1,1
3,1,5,5,70,2,1,1,1,1
4,1,3,5,78,2,1,1,1,1
4,1,1,5,42,1,1,1,1,1
3,0,3,2,33,1,1,1,1,1
5,0,5,2,75,2,1,1,1,1
1,1,3,2,26,1,1,1,1,1
2,0,4,2,58,2,1,1,1,1
2,1,2,2,29,1,1,1,1,1
1,0,5,3,29,1,1,1,1,1
4,0,4,1,70,2,1,1,1,1
4,0,2,1,67,2,1,1,1,1
5,1,4,5,93,3,1,1,1,1
1,0,5,3,21,1,1,1,1,1
2,1,1,3,74,2,1,1,1,1
3,0,1,1,82,3,1,1,1,1
2,1,1,3,65,2,1,1,1,1
4,0,5,5,75,2,1,1,1,1
2,1,5,4,55,2,1,1,1,1
1,1,5,5,54,2,1,1,1,1
2,1,5,3,26,1,1,1,1,1
3,0,1,2,48,1,1,1,1,1
1,1,1,3,49,1,1,1,1,1
4,0,2,3,49,1,1,1,1,1
1,1,2,3,64,2,1,1,1,1
4,1,3,5,81,3,1,1,1,1
1,1,4,2,64,2,1,1,1,1
3,0,2,4,82,3,1,1,1,1
1,0,2,4,74,2,1,1,1,1
1,0,2,3,32,1,1,1,1,1
4,0,2,3,83,3,1,1,1,1
1,0,5,2,68,2,1,1,1,1
4,0,3,5,90,3,1,1,1,1
2,0,2,3,44,1,1,1,1,1
4,1,5,5,51,2,1,1,1,1
4,1,4,4,86,3,1,1,1,1
4,0,2,3,62,2,1,1,1,1
4,0,5,5,48,1,1,1,1,1
3,0,5,1,56,2,1,1,1,1
4,0,1,4,79,2,1,1,1,1
3,0,1,3,74,2,1,1,1,1
4,1,3,2,82,3,1,1,1,1
1,0,1,2,32,1,1,1,1,1
1,0,2,5,46,1,1,1,1,1
5,0,5,4,88,3,1,1,1,1
3,1,3,1,35,1,1,1,1,1
3,1,5,3,56,2,1,1,1,1
2,1,2,1,74,2,1,1,1,1
3,1,1,4,67,2,1,1,1,1
2,0,4,3,23,1,1,1,1,1
5,1,2,5,67,2,1,1,1,1
5,1,4,4,86,3,1,1,1,1
3,1,5,5,70,2,1,1,1,1
1,1,4,1,68,2,1,1,1,1
4,1,5,5,91,3,1,1,1,1
4,0,3,4,42,1,1,1,1,1
2,1,5,1,62,2,1,1,1,1
4,1,1,5,44,1,1,1,1,1
3,1,1,1,67,2,1,1,1,1
2,0,2,2,35,1,1,1,1,1
2,0,1,1,46,1,1,1,1,1
1,0,3,1,31,1,1,1,1,1
1,0,1,3,59,2,1,1,1,1
2,0,2,5,71,2,1,1,1,1
3,0,1,3,74,2,1,1,1,1
4,0,5,2,80,3,1,1,1,1
3,0,5,1,49,1,1,1,1,1
2,1,4,5,39,1,1,1,1,1
4,1,4,4,67,2,1,1,1,1
4,0,5,3,38,1,1,1,1,1
1,1,4,3,47,1,1,1,1,1
4,0,5,2,41,1,1,1,1,1
1,1,3,1,75,2,1,1,1,1
1,1,2,2,53,2,1,1,1,1
4,0,5,1,81,3,1,1,1,1
1,1,2,4,37,1,1,1,1,1
5,0,3,5,77,2,1,1,1,1
1,0,5,1,36,1,1,1,1,1
5,1,1,5,95,3,1,1,1,1
1,0,3,5,65,2,1,1,1,1
1,1,4,4,18,1,1,1,1,1
3,1,5,1,80,3,1,1,1,1
3,0,3,3,81,3,1,1,1,1
1,0,3,5,73,2,1,1,1,1
4,0,5,2,74,2,1,1,1,1
4,0,4,4,57,2,1,1,1,1
1,0,5,4,64,2,1,1,1,1
4,1,4,5,97,3,1,1,1,1
5,0,3,4,42,1,1,1,1,1
3,1,2,1,48,1,1,1,1,1
3,0,5,2,46,1,1,1,1,1
5,1,5,5,79,2,1,1,1,1
5,1,3,5,83,3,1,1,1,1
1,1,5,4,70,2,1,1,1,1
2,1,5,2,73,2,1,1,1,1
5,1,5,3,56,2,1,1,1,1
1,0,4,4,71,2,1,1,1,1
2,1,1,4,76,2,1,1,1,1
2,0,5,4,49,1,1,1,1,1
1,1,5,1,43,1,1,1,1,1
2,0,5,1,67,2,1,1,1,1
2,1,2,2,63,2,1,1,1,1
1,1,2,2,18,1,1,1,1,1
3,0,3,1,43,1,1,1,1,1
4,0,3,3,72,2,1,1,1,1
2,1,3,4,57,2,1,1,1,1
3,1,5,5,25,1,1,1,1,1
1,0,2,3,15,1,1,1,1,1
4,1,3,4,88,3,1,1,1,1
1,1,2,3,24,1,1,1,1,1
5,0,5,5,81,3,1,1,1,1
4,1,5,4,40,1,1,1,1,1
4,1,5,4,60,2,1,1,1,1
4,0,3,1,73,2,1,1,1,1
3,1,5,1,52,2,1,1,1,1
3,0,5,3,53,2,1,1,1,1
3,0,2,1,65,2,1,1,1,1
1,1,1,5,30,1,1,1,1,1
4,1,4,1,39,1,1,1,1,1
1,0,3,5,43,1,1,1,1,1
2,0,1,5,59,2,1,1,1,1
5,1,5,1,38,1,1,1,1,1
5,0,3,2,44,1,1,1,1,1
3,1,1,2,44,1,1,1,1,1
2,0,5,3,53,2,1,1,1,1
2,0,3,2,37,1,1,1,1,1
2,0,1,5,52,2,1,1,1,1
3,1,4,5,30,1,1,1,1,1
1,0,5,5,22,1,1,1,1,1
3,0,3,5,51,2,1,1,1,1
3,0,5,2,82,3,1,1,1,1
4,0,5,2,63,2,1,1,1,1
5,1,3,2,58,2,1,1,1,1
2,0,1,5,58,2,1,1,1,1
1,1,3,3,38,1,1,1,1,1
2,0,5,5,80,3,1,1,1,1
5,0,2,4,70,2,1,1,1,1
4,1,5,4,72,2,1,1,1,1
5,1,1,3,48,1,1,1,1,1
1,0,4,5,36,1,1,1,1,1
3,0,3,2,73,2,1,1,1,1
2,0,5,2,51,2,1,1,1,1
1,1,3,4,63,2,1,1,1,1
5,0,4,2,74,2,1,1,1,1
5,1,5,4,98,3,1,1,1,1
3,0,4,2,45,1,1,1,1,1
3,1,5,1,45,1,1,1,1,1
4,1,2,5,74,2,1,1,1,1
3,1,5,5,81,3,1,1,1,1
1,0,5,2,30,1,1,1,1,1
2,0,4,2,77,2,1,1,1,1
4,1,1,2,86,3,1,1,1,1
1,1,5,5,58,2,1,1,1,1
5,1,2,4,99,3,1,1,1,1
4,0,3,5,69,2,1,1,1,1
4,0,2,4,47,1,1,1,1,1
4,0,2,4,42,1,1,1,1,1
2,1,3,2,73,2,1,1,1,1
1,0,5,2,71,2,1,1,1,1
2,0,2,2,68,2,1,1,1,1
3,0,5,3,47,1,1,1,1,1
3,1,2,2,31,1,1,1,1,1
4,0,1,2,31,1,1,1,1,1
3,0,5,1,86,3,1,1,1,1
3,0,1,4,27,1,1,1,1,1
1,0,5,3,32,1,1,1,1,1
2,0,4,1,41,1,1,1,1,1
3,1,3,3,33,1,1,1,1,1
2,1,5,3,75,2,1,1,1,1
5,1,5,3,57,2,1,1,1,1
1,1,5,2,59,2,1,1,1,1
3,0,5,5,87,3,1,1,1,1
3,0,4,2,72,2,1,1,1,1
3,1,5,1,78,2,1,1,1,1
3,1,5,5,46,1,1,1,1,1
